root_trace_id,concurrency,source_models,distinct_replay_instances,session_num_group_count,session_num_unique_row_rate,replay_instance_identity_status,profiled_request_count,root_request_count,subagent_request_count,unknown_branch_request_count,replay_root_request_count,replay_nonroot_branch_request_count,replay_unknown_branch_request_count,source_origin_root_request_count,source_origin_subagent_request_count,source_origin_unknown_branch_request_count,distinct_branch_count,total_input_tokens,total_output_tokens,median_input_tokens,p90_input_tokens,median_output_tokens,median_ttft_ms,p75_ttft_ms,p90_ttft_ms,p95_ttft_ms,median_itl_ms,p90_itl_ms,median_e2e_ms,p90_e2e_ms,median_observed_itl_implied_tps,token_weighted_itl_ms,median_post_ttft_tps,wall_span_s,wall_clock_output_rate,total_h200_wall_time_s,error_count,cancellation_count,sample_quality_flag,source_request_count_total,source_subagent_count,source_total_input_tokens,source_total_output_tokens,source_recorded_span_s,source_max_input_tokens,source_max_output_tokens,rank_metric,rank
0196085d85d2075a50b74cd8795ffbdcea9a,7,"[""claude-opus-4-7"",""claude-opus-4-8""]",12,12,1.0,unvalidated_session_num_group,12,12,0,0,12,0,0,12,0,0,1,12.0,12.0,1.0,1.0,1.0,289554.5308125,336466.685862,385830.59298960003,396279.61689804995,,,289554.5308125,385830.59298960003,,,,3492.695623882,0.003435741699891516,3468.717000602,0,0,session_num_unique_per_profiled_row,233,3,92015424,585641,17764.261,682304,17710,p90_ttft_ms,1
03e110ac6921c2fe9ac7772a9654314a2beb,8,"[""claude-fable-5"",""claude-opus-4-6""]",18,18,1.0,unvalidated_session_num_group,18,12,6,0,12,6,0,12,6,0,4,185549.0,4296.0,1.0,30816.6,1.0,271908.19333449996,308649.80249175,365606.01174910006,445009.19879865,31.28228454612528,32.00726087976864,287283.92278399994,365606.01174910006,31.969437305195584,30.649090417017298,31.96943730519556,3590.592488806,1.1964599194682137,4624.375658802,0,0,session_num_unique_per_profiled_row,107,7,11843328,169943,3465.445,315648,26571,p90_ttft_ms,2
0196085d85d2075a50b74cd8795ffbdcea9a,8,"[""claude-opus-4-7"",""claude-opus-4-8""]",11,11,1.0,unvalidated_session_num_group,11,11,0,0,11,0,0,11,0,0,1,11.0,11.0,1.0,1.0,1.0,309425.05368199997,335093.813524,343078.316971,356701.8726145,,,309425.05368199997,343078.316971,,,,3430.315569392,0.0032067020591780935,3409.523843573,0,0,session_num_unique_per_profiled_row,233,3,92015424,585641,17764.261,682304,17710,p90_ttft_ms,3
02bc0afb13f7a2d9efa86c28511261d85c0e,8,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",43,43,1.0,unvalidated_session_num_group,43,0,43,0,0,43,0,13,30,0,3,1565489.0,12326.0,36278.0,77561.0,99.0,239140.13206,275951.8729535,318628.1540094,341707.64882059995,30.968213022383253,33.66208816897997,242462.37939,326510.90283780004,32.291402261720194,31.536960349100386,32.291402261720236,3526.27033951,3.495477888321173,10362.253644356997,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,p90_ttft_ms,4
006c98de37d819e95b0840e25426bb7ca99d,8,"[""claude-opus-4-8""]",13,13,1.0,unvalidated_session_num_group,13,13,0,0,13,0,0,13,0,0,1,1467636.0,10462.0,112058.0,120050.0,774.0,236222.46362,283217.147467,309979.5313706,349587.8445055999,30.62997891979301,33.29904914436765,265357.847123,385854.52254700003,32.647753451563844,30.58818139372189,32.647753451563865,3285.519746558,3.1842754897334817,3267.5887073260005,0,0,session_num_unique_per_profiled_row,33,0,2908416,21607,5340.127,120320,4045,p90_ttft_ms,5
02bc0afb13f7a2d9efa86c28511261d85c0e,7,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",46,46,1.0,unvalidated_session_num_group,46,0,46,0,0,46,0,13,33,0,3,1743306.0,12605.0,40574.5,77195.0,99.0,206869.5531265,249132.46531675,308725.11498199997,325640.4271635,31.338926857142855,35.34565812649908,210586.79929199998,321534.6638475,31.909197291868253,33.22222067043554,31.909197291868274,3602.972726965,3.4984999763286986,10156.012198798002,0,0,session_num_unique_per_profiled_row,466,7,85859456,407324,219154.669,518464,10180,p90_ttft_ms,6
002001296e8a8c38ad9d7cc436d691afc602,8,"[""claude-haiku-4-5-20251001"",""claude-opus-4-8""]",15,15,1.0,unvalidated_session_num_group,15,9,6,0,9,6,0,9,6,0,2,544209.0,8505.0,1.0,129038.0,1.0,249645.09415,294474.08022899996,300591.6013944,301904.3320736,30.7012315865137,32.42330592098662,258082.74023999998,311284.5445756,32.57208164727865,30.92158438480565,32.572081647278665,3325.573219203,2.5574538401046816,3558.140554442001,0,0,session_num_unique_per_profiled_row,198,4,36279360,185265,201709.09,396224,8261,p90_ttft_ms,7
00ca01c4aaeccee751ae6285beb54dea262f,6,"[""claude-fable-5"",""claude-haiku-4-5-20251001""]",6,6,1.0,unvalidated_session_num_group,6,6,0,0,6,0,0,6,0,0,1,6.0,6.0,1.0,1.0,1.0,236014.8856635,283294.51651775,297848.697117,298760.750403,,,236014.8856635,297848.697117,,,,1239.545777089,0.004840482788857258,1229.744435451,0,0,session_num_unique_per_profiled_row,35,3,3971584,35287,2519.939,169024,3473,p90_ttft_ms,8
00ca01c4aaeccee751ae6285beb54dea262f,7,"[""claude-fable-5"",""claude-haiku-4-5-20251001""]",6,6,1.0,unvalidated_session_num_group,6,6,0,0,6,0,0,6,0,0,1,6.0,6.0,1.0,1.0,1.0,240048.8782555,283005.6237175,297691.27386149997,300049.28671775,,,240048.8782555,297691.27386149997,,,,1333.300702661,0.0045001101312143665,1323.5000953190001,0,0,session_num_unique_per_profiled_row,35,3,3971584,35287,2519.939,169024,3473,p90_ttft_ms,9
00ca01c4aaeccee751ae6285beb54dea262f,8,"[""claude-fable-5"",""claude-haiku-4-5-20251001""]",7,7,1.0,unvalidated_session_num_group,7,7,0,0,7,0,0,7,0,0,1,7.0,7.0,1.0,1.0,1.0,195743.047631,271962.650156,293834.158475,303016.227446,,,195743.047631,293834.158475,,,,1460.906848462,0.004791544380375378,1451.1006410589998,0,0,session_num_unique_per_profiled_row,35,3,3971584,35287,2519.939,169024,3473,p90_ttft_ms,10
